Rank,Make and Model,Average Repair Cost
1,Daihatsu,152.72
2,Renault,251.01
3,Suzuki,276.13
4,Smart,282.98
5,Chevrolet,286.67
6,Fiat,292.85
7,Peugeot,312.14
8,Rover,316.94
9,Saab,320.49
10,MG,323.46
11,Alfa Romeo,325.67
12,Mazda,332.41
13,Hyundai,337.92
14,Ford,338.29
15,Vauxhall,340.37
16,Citroen,347.59
17,Skoda,353.82
18,Volvo,365.93
19,Honda,369.74
20,Nissan,372.83
21,Volkswagen,382.04
22,Toyota,384.23
23,Jeep,385.84
24,Mini,402.37
25,Chrysler,412.61
26,Seat,427.21
27,Kia,427.37
28,Jaguar,430.41
29,Mercedes-Benz,431.46
30,Lexus,440.7
31,LANDROVER,452.58
32,SsangYong,473.44
33,Mitsubishi,496.52
34,BMW,539.43
35,Subaru,562.37
36,Audi,563.31
37,Bentley,655.57
38,Porsche,879.58
39,Aston Martin,943.57
40,Maserati,1128.28
