Rank,Make and Model,Reliability Index,,,,,,,,
1,Daihatsu,2,,,,,,,,
2,Honda,41,,,,,,,,
3,Suzuki,54,,,,,,,,
4,Toyota,58,,,,,,,,
5,Mazda,65,,,,,,,,
6,Lexus,73,,,,,,,,
7,Ford,77,,,,,,,,
8,Rover,79,,,,,,,,
9,Renault,88,,,,,,,,
10,Smart,89,,,,,,,,
11,Nissan,89,,,,,,,,
12,Skoda,92,,,,,,,,
13,Hyundai,93,,,,,,,,
14,Peugeot,96,,,,,,,,
15,Chevrolet,98,,,,,,,,
16,Fiat,99,,,,,,,,
17,MG,103,,,,,,,,
18,Subaru,105,,,,,,,,
19,Kia,109,,,,,,,,
20,Mitsubishi,113,,,,,,,,
21,Citroen,114,,,,,,,,
22,Mini,116,,,,,,,,
23,Volvo,127,,,,,,,,
24,Vauxhall,129,,,,,,,,
25,Volkswagen,136,,,,,,,,
26,Seat,143,,,,,,,,
27,Saab,144,,,,,,,,
28,Jaguar,172,,,,,,,,
29,Jeep,173,,,,,,,,
30,Mercedes-Benz,173,,,,,,,,
31,BMW,177,,,,,,,,
32,SsangYong,179,,,,,,,,
33,Alfa Romeo,187,,,,,,,,
34,Audi,195,,,,,,,,
35,Chrysler,206,,,,,,,,
36,LANDROVER,308,,,,,,,,
37,Porsche,355,,,,,,,,
38,Aston Martin,390,,,,,,,,
39,Bentley,530,,,,,,,,
40,Maserati,774,,,,,,,,
